Name,Symbol
ASETEK,ASTK
ATEA,ATEA
BOUVET,BOUV
CONTEXTVISION,CONTX
CRAYON GROUP HOLD,CRAYN
DLT,DLTX
ECOONLINE HOLDING,ECO
ELLIPTIC LABORATOR,ELABS
HARMONYCHAIN,HMONY
HOUSE OF CONTROL,HOC
HUDDLESTOCK FINTEC,HUDL
INDUCT,INDCT
ITERA,ITERA
LINK MOBILITY GRP,LINK
MERCELL HOLDING,MRCEL
NEXT BIOMETRICS GP,NEXT
NORDIC SEMICONDUC,NOD
OTELLO CORPORATION,OTEC
PEXIP HOLDING,PEXIP
POLIGHT,PLT
QUESTBACK GROUP,QUEST
RIVER TECH,RIVER
SCHIBSTED SER. A,SCHA
SCHIBSTED SER. B,SCHB
SIKRI HOLDING,SIKRI
SMARTCRAFT,SMCRT
STRONGPOINT,STRO
TECHSTEP,TECH
TIETOEVRY,TIETO
VOLUE,VOLUE
WEBSTEP,WSTEP
ZALARIS,ZAL
Ã˜RN SOFTWARE HLD.,ORN